Tag_ID,UTC_Date,UTC_Time,Latitude,Longitude,HDOP,CNR,Sats,TimeOn(s),eRes,Maxdepth,divelen,TADindex, TimeElapsed,Day Dive Ratio,Day Max Dive Depth,
2315:237566,2023-1-24,0:7:46,,,,,,,,,,,,0.0000,0.00,
2315:237566,2023-1-23,22:36:51,-77.39291,169.91193,1.4,null,6,null,6.9,,,,,,,
2315:237566,2023-1-23,21:35:51,-77.40271,169.91774,2.1,null,5,null,2.9,,,,,,,
2315:237566,2023-1-23,20:36:42,-77.41009,169.93907,1.1,null,7,null,7.8,,,,,,,
2315:237563,2023-1-23,20:33:50,-77.45325,169.23787,1.1,null,7,null,10.2,,,,,,,
2315:237566,2023-1-23,19:58:31,,,,,,,,,,,,0.0000,0.00,
2315:237563,2023-1-23,19:34:28,-77.45412,169.23802,1.5,null,6,null,8.2,,,,,,,
2315:237566,2023-1-23,19:10:34,,,,,,,,,,,,0.0000,0.00,
2315:237566,2023-1-23,19:4:18,,,,,,,,,,,,0.0000,0.00,
2315:237563,2023-1-23,19:3:46,,,,,,,,,,,,0.0000,0.00,
2315:237563,2023-1-23,19:1:49,-77.45368,169.23807,1.4,null,6,null,3.7,,,,,,,
2315:237563,2023-1-23,18:28:9,,,,,,,,,,,,0.0000,0.00,
2315:237563,2023-1-23,18:22:29,,,,,,,,,,,,0.0000,0.00,
2315:237566,2023-1-23,18:22:24,,,,,,,,,,,,0.0000,0.00,
2315:237563,2023-1-23,18:16:29,,,,,,,,,,,,0.0000,0.00,
2315:237566,2023-1-23,18:4:18,,,,,,,,,,,,0.0000,0.00,
2315:237563,2023-1-23,18:4:10,,,,,,,,,,,,0.0000,0.00,
2315:237566,2023-1-23,17:52:12,,,,,,,,,,,,0.0000,0.00,
2315:237563,2023-1-23,17:23:3,,,,,,,,,,,,0.0000,0.00,
2315:237566,2023-1-23,17:7:50,-77.41576,170.01942,1.4,null,5,null,9.5,,,,,,,
2315:237563,2023-1-23,16:41:22,,,,,,,,,,,,0.0000,0.00,
2315:237566,2023-1-23,16:41:18,,,,,,,,,,,,0.0000,0.00,
2315:237563,2023-1-23,16:35:12,,,,,,,,,,,,0.0000,0.00,
2315:237566,2023-1-23,16:19:47,,,,,,,,,,,,0.0000,0.00,
2315:237563,2023-1-23,16:11:41,,,,,,,,,,,,0.0000,0.00,
2315:237566,2023-1-23,16:7:12,-77.41098,169.96991,1.3,null,6,null,1.9,,,,,,,
2315:237563,2023-1-23,16:1:48,-77.45283,169.23560,3.4,null,5,null,1.2,,,,,,,
2315:237563,2023-1-23,15:47:53,,,,,,,,,,,,0.0000,0.00,
2315:237566,2023-1-23,15:42:18,,,,,,,,,,,,0.0000,0.00,
2315:237563,2023-1-23,15:42:4,,,,,,,,,,,,0.0000,0.00,
2315:237563,2023-1-23,15:2:29,-77.45270,169.39452,1.7,null,5,null,8.0,,,,,,,
2315:237566,2023-1-23,15:0:58,,,,,,,,,,,,0.0000,0.00,
2315:237563,2023-1-23,14:57:8,,,,,,,,,,,,0.0000,0.00,
2315:237566,2023-1-23,14:55:8,,,,,,,,,,,,0.0000,0.00,
2315:237566,2023-1-23,14:7:45,,,,,,,,,,,,0.0000,0.00,
2315:237566,2023-1-23,14:1:26,,,,,,,,,,,,0.0000,0.00,
2315:237563,2023-1-23,14:0:25,,,,,,,,,,,,0.0000,0.00,
2315:237563,2023-1-23,13:38:48,-77.40645,169.47424,1.2,null,7,null,28.9,,,,,,,
2315:237563,2023-1-23,12:38:10,-77.35527,169.74548,1.6,null,5,null,15.6,,,,,,,
2315:237563,2023-1-23,12:28:14,,,,,,,,,,,,0.0000,0.00,
2315:237566,2023-1-23,12:24:53,,,,,,,,,,,,0.0000,0.00,
2315:237566,2023-1-23,12:19:56,,,,,,,,,,,,0.0000,0.00,
2315:237566,2023-1-23,11:58:34,-77.39497,170.15796,1.2,null,6,null,10.5,,,,,,,
2315:237563,2023-1-23,11:36:33,,,,,,,,,,,,0.0000,0.00,
2315:237563,2023-1-23,11:36:14,-77.32030,169.99426,1.1,null,7,null,21.1,,,,,,,
2315:237563,2023-1-23,10:40:3,,,,,,,,,,,,0.0000,0.00,
2315:237563,2023-1-23,10:36:33,-77.30311,170.27553,1.5,null,5,null,19.1,,,,,,,
2315:237566,2023-1-23,10:6:50,-77.38061,170.18532,1.1,null,6,null,9.0,,,,,,,
2315:237566,2023-1-23,10:6:49,,,,,,,,,,,,0.0000,0.00,
2315:237566,2023-1-23,9:6:50,-77.38797,170.18127,1.2,null,6,null,5.9,,,,,,,
2315:237563,2023-1-23,9:2:21,,,,,,,,,,,,0.0000,0.00,
