Tag_ID,UTC_Date,UTC_Time,Latitude,Longitude,LQ,HDOP,CNR,Sats,TimeOn(s),eRes,Maxdepth,divelen,TADindex, TimeElapsed,Day Dive Ratio,Day Max Dive Depth,ErrorRadius,SemiMajor,SemiMinor,Orientation,
2315:237566,2023-1-30,0:38:54,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237566,2023-1-29,22:55:51,-77.43677,169.16093,1,,,,,,,,,,,,671.0,2897.0,155.0,87.0,
2315:237566,2023-1-29,21:15:38,-77.44627,169.26192,1,,,,,,,,,,,,842.0,8181.0,86.0,97.0,
2315:237566,2023-1-29,20:48:13,-77.39607,169.40096,G,1.3,null,5,null,12.9,,,,,,,,,,,
2315:237566,2023-1-29,19:32:32,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237566,2023-1-29,18:30:52,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237566,2023-1-29,18:7:22,,,,,,,,,,,,,12.6389,0.00,,,,,
2315:237566,2023-1-29,17:55:24,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237566,2023-1-29,17:50:17,-77.47493,169.22244,1,,,,,,,,,,,,668.0,1435.0,310.0,102.0,
2315:237566,2023-1-29,17:49:14,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237566,2023-1-29,17:31:41,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237566,2023-1-29,17:25:43,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237566,2023-1-29,16:17:53,-77.45287,169.23901,G,1.5,null,5,null,2.0,,,,,,,,,,,
2315:237566,2023-1-29,16:16:9,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237566,2023-1-29,16:10:9,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237566,2023-1-29,15:53:21,-77.45359,169.24194,G,3.7,null,5,null,3.4,,,,,,,,,,,
2315:237566,2023-1-29,15:44:20,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237566,2023-1-29,12:48:5,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237566,2023-1-29,12:47:47,-77.40334,170.02385,G,1.5,null,5,null,17.0,,,,,,,,,,,
2315:237566,2023-1-29,12:27:16,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237566,2023-1-29,11:45:52,-77.40305,170.05740,G,1.2,null,6,null,16.1,,,,,,,,,,,
2315:237566,2023-1-29,10:23:57,-77.41188,170.07281,G,1.7,null,5,null,2.0,,,,,,,,,,,
2315:237566,2023-1-29,9:28:34,-77.41474,170.09778,1,,,,,,,,,,,,530.0,2800.0,100.0,86.0,
2315:237566,2023-1-29,9:22:44,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237566,2023-1-29,7:44:8,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237566,2023-1-29,7:29:43,-77.39777,169.51930,1,,,,,,,,,,,,1354.0,6127.0,299.0,84.0,
2315:237566,2023-1-29,5:0:58,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237566,2023-1-29,4:46:52,-77.44516,169.18958,G,1.3,null,5,null,7.3,,,,,,,,,,,
2315:237566,2023-1-28,23:59:52,-77.44878,169.22760,G,1.9,null,5,null,0.6,,,,,,,,,,,
2315:237566,2023-1-28,21:29:23,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237566,2023-1-28,21:11:30,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237566,2023-1-28,19:48:16,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237566,2023-1-28,19:42:59,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237566,2023-1-28,19:32:7,-77.44028,169.24007,2,,,,,,,,,,,,460.0,3459.0,61.0,89.0,
2315:237566,2023-1-28,19:30:32,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237566,2023-1-28,18:41:51,-77.45341,169.23633,G,2.0,null,5,null,7.5,,,,,,,,,,,
2315:237566,2023-1-28,18:25:19,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237566,2023-1-28,18:4:36,-77.46066,169.25600,1,,,,,,,,,,,,736.0,1690.0,319.0,107.0,
2315:237566,2023-1-28,18:2:26,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237566,2023-1-28,17:56:19,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237566,2023-1-28,16:25:7,-77.44157,169.26747,1,,,,,,,,,,,,623.0,1209.0,321.0,104.0,
2315:237566,2023-1-28,16:24:6,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237566,2023-1-28,16:11:46,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237566,2023-1-28,16:10:51,-77.45387,169.23083,G,1.5,null,5,null,6.4,,,,,,,,,,,
2315:237566,2023-1-28,16:10:46,-77.51353,169.38664,1,,,,,,,,,,,,990.0,5846.0,167.0,109.0,
2315:237566,2023-1-28,16:5:45,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237566,2023-1-28,15:24:28,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237566,2023-1-28,15:8:51,-77.45406,169.23138,G,1.0,null,8,null,10.1,,,,,,,,,,,
2315:237566,2023-1-28,14:32:28,-77.45231,169.22624,2,,,,,,,,,,,,282.0,554.0,143.0,88.0,
2315:237566,2023-1-28,14:8:51,-77.45434,169.23283,G,1.6,null,5,null,0.6,,,,,,,,,,,
2315:237566,2023-1-28,13:42:6,-77.45834,169.22840,1,,,,,,,,,,,,629.0,2139.0,185.0,67.0,
2315:237566,2023-1-28,13:6:25,-77.44964,169.26692,2,,,,,,,,,,,,293.0,8115.0,10.0,83.0,
2315:237566,2023-1-28,12:54:12,-77.44583,169.25594,2,,,,,,,,,,,,263.0,760.0,90.0,73.0,
2315:237566,2023-1-28,11:36:51,-77.45390,169.23152,G,1.7,null,5,null,15.5,,,,,,,,,,,
2315:237566,2023-1-28,11:25:47,-77.45111,169.27751,2,,,,,,,,,,,,356.0,2509.0,50.0,93.0,
2315:237566,2023-1-28,9:46:35,-77.47658,169.35858,1,,,,,,,,,,,,779.0,13500.0,44.0,94.0,
2315:237566,2023-1-28,9:35:20,-77.45415,169.23216,2,,,,,,,,,,,,302.0,2931.0,31.0,87.0,
2315:237566,2023-1-28,8:34:33,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237566,2023-1-28,4:6:51,-77.34426,169.79752,G,1.2,null,5,null,1.9,,,,,,,,,,,
2315:237566,2023-1-28,0:46:19,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237566,2023-1-28,0:0:37,-77.17688,170.69823,G,2.0,null,5,null,3.4,,,,,,,,,,,
2315:237566,2023-1-27,23:19:42,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237566,2023-1-27,23:18:7,-77.16491,170.87646,1,,,,,,,,,,,,811.0,4137.0,158.0,95.0,
2315:237566,2023-1-27,21:39:56,-77.15089,171.41312,2,,,,,,,,,,,,414.0,2857.0,60.0,99.0,
2315:237566,2023-1-27,20:15:34,-77.11570,171.76656,G,1.6,null,5,null,6.2,,,,,,,,,,,
2315:237566,2023-1-27,20:0:11,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237566,2023-1-27,19:34:52,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237566,2023-1-27,18:19:55,-77.10978,172.34499,2,,,,,,,,,,,,487.0,4800.0,49.0,94.0,
2315:237566,2023-1-27,18:19:48,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237566,2023-1-27,18:19:19,-77.09391,172.32904,1,,,,,,,,,,,,618.0,2005.0,190.0,99.0,
2315:237566,2023-1-27,17:46:8,-77.10565,172.50232,G,3.9,null,5,null,2.0,,,,,,,,,,,
2315:237566,2023-1-27,16:46:27,-77.09089,172.74860,G,1.5,null,5,null,6.9,,,,,,,,,,,
2315:237566,2023-1-27,16:39:50,-77.06037,172.79956,1,,,,,,,,,,,,607.0,902.0,408.0,10.0,
2315:237566,2023-1-27,16:38:50,-77.04682,172.62572,1,,,,,,,,,,,,952.0,14625.0,61.0,104.0,
2315:237566,2023-1-27,16:36:52,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237566,2023-1-27,14:59:17,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237566,2023-1-27,14:58:13,-77.03882,173.23549,1,,,,,,,,,,,,1111.0,12103.0,102.0,75.0,
2315:237566,2023-1-27,14:51:40,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237566,2023-1-27,13:21:58,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237566,2023-1-27,13:18:58,-77.05348,173.45772,1,,,,,,,,,,,,855.0,2469.0,296.0,91.0,
2315:237566,2023-1-27,13:16:49,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237563,2023-1-27,12:0:49,-77.45348,169.23850,G,1.0,null,8,null,13.7,,,,,,,,,,,
2315:237566,2023-1-27,11:40:10,-77.08197,173.77742,3,,,,,,,,,,,,234.0,1439.0,38.0,73.0,
2315:237563,2023-1-27,11:38:4,-77.47918,169.14178,1,,,,,,,,,,,,1455.0,23771.0,89.0,75.0,
2315:237566,2023-1-27,11:36:50,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237566,2023-1-27,11:29:20,-77.10191,173.71387,1,,,,,,,,,,,,596.0,4603.0,77.0,82.0,
2315:237566,2023-1-27,10:21:20,-77.15476,173.88693,G,1.5,null,5,null,3.8,,,,,,,,,,,
2315:237563,2023-1-27,9:57:56,-77.44856,169.21667,1,,,,,,,,,,,,521.0,5560.0,48.0,81.0,
2315:237563,2023-1-27,9:57:49,-77.45327,169.23965,G,1.2,null,5,null,22.5,,,,,,,,,,,
2315:237563,2023-1-27,9:51:26,-77.44968,169.28049,2,,,,,,,,,,,,422.0,2174.0,81.0,82.0,
2315:237563,2023-1-27,8:58:11,-77.45354,169.23946,G,2.0,null,5,null,8.1,,,,,,,,,,,
2315:237566,2023-1-27,8:25:39,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237566,2023-1-27,8:20:19,-77.15760,174.09685,1,,,,,,,,,,,,806.0,5387.0,120.0,91.0,
2315:237566,2023-1-27,8:19:36,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237563,2023-1-27,8:18:3,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237563,2023-1-27,8:17:57,-77.44948,169.22528,2,,,,,,,,,,,,371.0,2099.0,65.0,84.0,
2315:237563,2023-1-27,8:11:48,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237566,2023-1-27,6:46:48,-77.14903,174.20149,G,1.2,null,6,null,2.3,,,,,,,,,,,
2315:237563,2023-1-27,6:36:34,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237563,2023-1-27,4:43:41,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237563,2023-1-27,4:27:50,-77.42932,169.25275,G,1.5,null,5,null,1.4,,,,,,,,,,,
2315:237566,2023-1-27,1:19:35,-77.10936,174.70454,G,2.5,null,5,null,4.8,,,,,,,,,,,
2315:237566,2023-1-26,23:46:33,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237566,2023-1-26,23:29:9,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237566,2023-1-26,23:27:1,-77.11576,174.65437,1,,,,,,,,,,,,963.0,4889.0,189.0,88.0,
2315:237563,2023-1-26,22:59:29,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237566,2023-1-26,22:59:4,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237566,2023-1-26,22:28:50,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237566,2023-1-26,21:54:27,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237566,2023-1-26,20:44:7,-77.11395,174.87415,1,,,,,,,,,,,,835.0,5477.0,127.0,99.0,
2315:237566,2023-1-26,20:23:10,-77.12064,174.92740,1,,,,,,,,,,,,655.0,3003.0,142.0,87.0,
2315:237566,2023-1-26,18:41:57,-77.13182,174.91165,2,,,,,,,,,,,,400.0,4073.0,39.0,90.0,
2315:237566,2023-1-26,18:26:41,-77.11070,174.82889,1,,,,,,,,,,,,726.0,3030.0,173.0,113.0,
2315:237566,2023-1-26,18:17:46,-77.12801,174.87953,G,1.2,null,6,null,12.3,,,,,,,,,,,
2315:237566,2023-1-26,18:13:10,-77.14015,174.91860,1,,,,,,,,,,,,962.0,10057.0,92.0,113.0,
2315:237566,2023-1-26,16:47:50,-77.14728,174.94585,1,,,,,,,,,,,,1169.0,2559.0,534.0,73.0,
2315:237563,2023-1-26,16:1:48,-77.09069,172.75763,G,3.0,null,5,null,4.9,,,,,,,,,,,
2315:237563,2023-1-26,15:24:28,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237566,2023-1-26,15:24:14,-77.13177,174.85500,1,,,,,,,,,,,,551.0,2182.0,139.0,105.0,
2315:237566,2023-1-26,15:22:24,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237566,2023-1-26,15:10:14,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237566,2023-1-26,15:9:10,-77.14198,174.84418,1,,,,,,,,,,,,1092.0,2378.0,501.0,69.0,
2315:237566,2023-1-26,14:46:46,-77.14243,174.87512,G,4.1,null,5,null,3.5,,,,,,,,,,,
2315:237563,2023-1-26,14:35:52,-77.07254,173.01268,G,1.4,null,6,null,54.6,,,,,,,,,,,
2315:237566,2023-1-26,13:41:38,-77.14902,174.86215,2,,,,,,,,,,,,350.0,786.0,156.0,31.0,
2315:237566,2023-1-26,13:40:54,,,,,,,,,,,,,0.0000,0.00,,,,,
2315:237563,2023-1-26,13:36:0,-77.03541,173.22540,G,1.4,null,5,null,41.2,,,,,,,,,,,
2315:237566,2023-1-26,13:28:18,,,,,,,,,,,,,0.0000,0.00,,,,,
